DateTime,AddedIPs,RemovedIPs
1593575297,1,0
1593577212,0,1
1593581075,0,1
1593582970,2,0
1593593051,0,2
1593594978,1,1
1593596918,0,1
1593600773,0,2
1593606649,1,0
1593618285,0,2
1593622144,2,0
1593624014,0,1
1593629813,0,1
1593632012,0,1
1593638682,1,1
1593640575,1,1
1593642513,1,0
1593649455,1,0
1593653291,2,0
1593655302,0,1
1593661215,1,1
1593668893,1,1
1593670814,1,1
1593674657,1,0
1593678492,1,0
1593681608,0,1
1593688588,1,0
1593692443,1,1
1593702981,1,0
1593708738,2,2
1593710688,1,0
1593714536,2,0
1593716536,1,0
1593724387,0,1
1593728178,0,2
1593730120,2,0
1593733932,1,0
1593735917,2,1
1593739693,0,2
1593745738,1,0
1593747643,0,1
1593755300,0,1
1593757243,0,1
1593761059,0,1
1593764897,0,1
1593774532,0,1
1593778337,1,0
1593780289,0,1
1593784099,1,0
1593787936,0,1
1593793724,1,0
1593795779,0,3
1593801428,0,2
1593803307,0,1
1593809059,1,0
1593810977,1,0
1593816738,0,2
1593820575,0,1
1593822520,1,2
1593829214,1,0
1593831160,0,1
1593833079,1,0
1593834995,1,0
1593843674,1,0
1593845534,1,0
1593849375,1,0
1593857326,1,0
1593861142,3,0
1593864983,0,1
1593866896,1,0
1593868836,0,1
1593872684,1,0
1593876506,1,0
1593880605,0,1
1593894337,0,1
1593896174,1,1
1593898104,1,0
1593906968,1,0
1593908887,0,1
1593916817,0,1
1593920652,0,1
1593922576,0,1
1593924518,2,0
1593928227,1,0
1593931930,0,1
1593933884,0,1
1593935769,0,1
1593937713,1,0
1593943484,0,1
1593947291,0,3
1593954977,0,1
1593958844,0,1
1593964607,1,1
1593977051,1,0
1593980889,1,0
1593983779,1,2
1593989533,2,0
1593993375,0,1
1594005882,2,0
1594007777,1,0
1594011635,0,2
1594015851,1,1
1594023647,0,1
1594050531,1,1
1594054355,1,0
1594063929,0,1
1594068009,0,2
1594075715,0,2
1594090094,1,0
1594092041,1,2
1594094002,0,1
1594102570,0,1
1594121132,1,0
1594134984,1,0
1594136896,0,1
1594140788,0,1
1594150366,1,0
1594158012,1,0
1594177720,0,2
1594185373,1,0
1594191222,2,0
1594196892,1,0
1594207487,1,1
1594214193,1,0
1594218021,1,0
1594221882,0,1
1594227786,2,0
1594229824,1,0
1594235810,0,1
1594237694,1,0
1594241564,1,0
1594245403,1,1
1594250175,1,0
1594262894,2,0
1594264841,1,0
1594270627,1,0
1594272510,0,1
1594274469,1,0
1594276418,0,1
1594278299,0,1
1594282137,1,0
1594284015,0,1
1594285934,3,0
1594287879,2,0
1594293927,3,1
1594300570,0,1
1594302531,1,0
1594304433,0,1
1594310169,1,0
1594312117,3,0
1594314597,1,3
1594318593,1,0
1594324339,1,1
1594328192,0,1
1594330089,2,0
1594333207,0,1
1594337079,0,1
1594345689,1,0
1594347883,0,1
1594349774,0,2
1594355533,0,1
1594359615,0,1
1594361570,1,0
1594367552,0,1
1594371371,0,2
1594373316,0,1
1594376210,1,2
1594380009,0,3
1594381989,1,0
1594390841,2,1
1594396628,0,1
1594398487,0,3
1594400472,0,1
1594404533,0,1
1594406415,1,0
1594412176,0,1
1594416038,0,2
1594428728,1,0
1594430652,1,0
1594432617,0,1
1594434737,1,0
1594438625,2,0
1594448206,1,1
1594457794,1,0
1594459688,1,0
1594463531,1,1
1594467397,0,1
1594475054,1,0
1594476970,0,1
1594478923,0,1
1594480809,2,0
1594482744,1,0
1594492344,0,1
1594501967,1,0
1594503855,1,0
1594511529,1,0
1594513483,1,0
1594515370,0,1
1594517286,1,1
1594521132,0,1
1594523312,1,0
1594525215,0,2
1594527170,1,0
1594534808,0,1
1594536785,1,0
1594545370,0,2
1594551135,0,1
